doi,authors
10.1192/bjp.172.6.533,"['Vikram Patel', 'Jerson Pereira', 'Livia Countinho', 'Romaldina Fernandes', 'John Fernandes', 'Antony Mann']"
10.1001/jamanetworkopen.2018.0298,"['Eugenia C. South', 'Bernadette Hohl', 'Michelle C. Kondo', 'John M. MacDonald', 'Charles C. Branas']"
10.1007/s00787-021-01848-w,"['Llúcia González', 'Marisa Estarlich', 'Mario Murcia', 'Florencia Barreto‐Zarza', 'Loreto Santa‐Marina', 'Sandra Simó', 'Isabel Larrañaga', 'Estefanía Ruiz‐Palomino', 'Jesús Ibarluzea', 'Marisa Rebagliato']"
10.1037/a0016071,"['Esther J. Calzada', 'Yenny Fernandez', 'Dharma E. Cortés']"
10.1192/s1749367600000370,['Frederick W. Hickling']
10.1186/1471-2458-6-223,"['Stefan Vetter', 'Jérôme Endrass', 'Schweizer Ivo', 'Hsun-Mei Teng', 'Wulf Rössler', 'William T. Gallo']"
10.2105/ajph.2009.177329,"['Karen I. Fredriksen‐Goldsen', 'Hyun‐Jun Kim', 'Susan E. Barkan', 'Kimberly F. Balsam', 'Shawn L. Mincer']"
10.1176/ps.2006.57.10.1391,['Judith Α. Cook']
10.4314/ajpsy.v13i2.54360,"['Sharon Kleintjes', 'Crick Lund', 'AJ Flisher']"
10.2105/ajph.2009.180943,"['Jake M. Najman', 'Mohammad R. Hayatbakhsh', 'Alexandra Clavarino', 'William Bor', 'Michael O’Callaghan', 'Gail Williams']"
10.1086/323165,"['Elizabeth M. Z. Farmer', 'Barbara J. Burns', 'Mimi V. Chapman', 'Susan D. Phillips', 'Adrian Angold', 'E. Jane Costello']"
10.1093/heapol/czl003,['Martín Knapp']
10.1016/j.socscimed.2017.01.023,"['Lisa Hjelm', 'Sudhanshu Handa', 'Jacobus de Hoop', 'Tia Palermo']"
10.1542/peds.2007-0447,"['Kandyce Larson', 'Shirley A. Russ', 'James J. Crall', 'Neal Halfon']"
